Round,Judge_Associated_Press,Judge_B._Logist,Judge_G._Hamada,Judge_HBO-Lederman,Judge_J._Roth,Judge_Las_Vegas_Review-Journal,Judge_Los_Angeles_Times-Kawakami,Judge_Los_Angeles_Times-Springer,Judge_Sportsticker,Judge_USA_Today,Judge_van_de_Wiele,Official_No,Official_Yes
0.8181818181818182,False,False,False,False,False,False,False,False,True,False,False,True,False
0.0,False,False,False,False,False,False,False,False,False,True,False,True,False
0.7272727272727273,False,False,True,False,False,False,False,False,False,False,False,False,True
0.4545454545454545,False,False,False,False,False,True,False,False,False,False,False,True,False
0.36363636363636365,False,False,False,False,False,False,False,True,False,False,False,True,False
0.9090909090909091,False,False,False,False,False,True,False,False,False,False,False,True,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False,True
0.9999999999999999,False,False,False,False,False,False,True,False,False,False,False,True,False
0.2727272727272727,False,False,False,False,False,True,False,False,False,False,False,True,False
0.36363636363636365,False,False,False,False,False,False,False,False,True,False,False,True,False
0.09090909090909091,False,False,False,False,False,False,False,False,False,False,True,True,False
0.7272727272727273,False,False,False,False,True,False,False,False,False,False,False,False,True
0.6363636363636364,False,False,False,False,False,False,False,True,False,False,False,True,False
0.2727272727272727,False,False,False,False,False,False,False,False,False,True,False,True,False
0.09090909090909091,False,False,False,False,False,False,False,False,True,False,False,True,False
0.2727272727272727,False,False,False,False,False,False,False,True,False,False,False,True,False
0.09090909090909091,False,False,False,False,False,False,False,False,False,True,False,True,False
0.09090909090909091,False,False,False,False,False,False,False,True,False,False,False,True,False
0.4545454545454545,False,False,False,False,True,False,False,False,False,False,False,False,True
0.5454545454545454,True,False,False,False,False,False,False,False,False,False,False,True,False
0.36363636363636365,False,False,False,False,False,False,False,False,False,True,False,True,False
0.9999999999999999,False,False,False,False,False,False,False,False,False,True,False,True,False
0.1818181818181818,False,False,False,False,True,False,False,False,False,False,False,False,True
0.7272727272727273,False,False,False,False,False,False,False,False,True,False,False,True,False
0.09090909090909091,False,False,False,False,True,False,False,False,False,False,False,False,True
0.4545454545454545,False,False,False,False,False,False,False,True,False,False,False,True,False
0.8181818181818182,False,False,False,False,True,False,False,False,False,False,False,False,True
0.8181818181818182,False,False,True,False,False,False,False,False,False,False,False,False,True
0.36363636363636365,False,False,True,False,False,False,False,False,False,False,False,False,True
0.0,True,False,False,False,False,False,False,False,False,False,False,True,False
0.9090909090909091,False,False,False,False,False,False,False,True,False,False,False,True,False
0.6363636363636364,False,False,False,False,False,False,False,False,False,True,False,True,False
0.4545454545454545,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6363636363636364,False,False,False,False,False,False,False,False,True,False,False,True,False
0.9090909090909091,False,False,False,False,False,False,False,False,False,True,False,True,False
0.0,False,False,False,False,False,False,False,True,False,False,False,True,False
0.4545454545454545,False,False,False,False,False,False,False,False,False,False,True,True,False
0.6363636363636364,False,False,False,False,False,False,False,False,False,False,True,True,False
0.09090909090909091,True,False,False,False,False,False,False,False,False,False,False,True,False
0.9090909090909091,False,False,False,False,False,False,False,False,True,False,False,True,False
0.7272727272727273,True,False,False,False,False,False,False,False,False,False,False,True,False
0.0,False,False,False,True,False,False,False,False,False,False,False,True,False
0.36363636363636365,False,True,False,False,False,False,False,False,False,False,False,False,True
0.9999999999999999,False,False,True,False,False,False,False,False,False,False,False,False,True
0.2727272727272727,False,False,False,False,True,False,False,False,False,False,False,False,True
0.09090909090909091,False,False,True,False,False,False,False,False,False,False,False,False,True
0.8181818181818182,False,False,False,False,False,False,False,True,False,False,False,True,False
0.9999999999999999,False,False,False,True,False,False,False,False,False,False,False,True,False
0.6363636363636364,False,False,False,False,True,False,False,False,False,False,False,False,True
0.1818181818181818,False,False,False,False,False,False,False,False,False,False,True,True,False
0.9999999999999999,False,False,False,False,False,False,False,True,False,False,False,True,False
0.1818181818181818,False,False,False,False,False,True,False,False,False,False,False,True,False
0.09090909090909091,False,False,False,False,False,False,True,False,False,False,False,True,False
0.8181818181818182,False,False,False,True,False,False,False,False,False,False,False,True,False
0.4545454545454545,False,False,False,False,False,False,False,False,True,False,False,True,False
0.7272727272727273,False,False,False,False,False,False,False,True,False,False,False,True,False
0.0,False,True,False,False,False,False,False,False,False,False,False,False,True
0.2727272727272727,False,True,False,False,False,False,False,False,False,False,False,False,True
0.2727272727272727,False,False,True,False,False,False,False,False,False,False,False,False,True
0.09090909090909091,False,True,False,False,False,False,False,False,False,False,False,False,True
0.0,False,False,True,False,False,False,False,False,False,False,False,False,True
0.9090909090909091,False,False,False,True,False,False,False,False,False,False,False,True,False
0.7272727272727273,False,False,False,False,False,False,False,False,False,False,True,True,False
0.7272727272727273,False,False,False,False,False,False,False,False,False,True,False,True,False
0.2727272727272727,True,False,False,False,False,False,False,False,False,False,False,True,False
0.6363636363636364,False,False,False,True,False,False,False,False,False,False,False,True,False
