Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income,Trips
45.0,1,,48.0003,0,2,2,,0
23.0,0,937.5,87.0,0,1,2,6.843216758,0
47.0,1,875.0,48.0003,1,0,0,6.774223886,0
29.0,0,1562.5,161.7,1,0,0,7.354042382,0
54.0,1,937.5,161.7,1,0,0,6.843216758,0
19.0,0,,303.6,1,0,0,,0
29.0,0,781.25,48.0003,0,2,2,6.660895201,0
36.0,1,1250.0,48.0003,0,2,3,7.13089883,0
40.0,0,625.0,203.7,0,2,1,6.43775165,0
50.0,1,1250.0,303.6,1,1,0,7.13089883,0
33.0,1,1000.0,535.5,0,0,3,6.907755279,0
19.0,1,168.75,48.0003,0,1,1,5.12841833,0
20.0,0,250.0,48.0003,0,3,1,5.521460918,0
28.0,1,2500.0,45.0,1,3,3,7.824046011,0
17.0,1,,216.3,0,2,1,,0
24.0,1,,48.0003,0,0,1,,0
27.0,1,600.0,170.4,0,3,3,6.396929655,0
36.0,0,1406.25,176.4,0,1,3,7.248681866,0
53.0,0,187.5,48.0003,0,0,2,5.233778845,0
22.0,1,109.375,48.0003,1,1,2,4.694782345,0
34.0,1,937.5,190.8,0,0,2,6.843216758,0
41.0,0,2187.5,186.9,0,0,3,7.690514618,0
41.0,1,406.25,48.0003,0,1,3,6.006968734,0
42.0,0,2031.25,48.0003,0,2,1,7.616406646,0
24.0,1,1562.5,161.7,0,2,3,7.354042382,0
32.0,1,781.25,48.0003,0,0,0,6.660895201,0
63.0,0,,48.0,0,0,1,,0
46.0,1,,48.0,0,0,1,,0
31.0,1,,520.2,0,3,3,,0
43.0,1,,303.6,0,2,2,,0
62.0,1,250.0,176.4,0,1,2,5.521460918,0
39.0,1,1875.0,190.8,0,2,2,7.536363938,0
38.0,0,2812.5,161.7,0,1,0,7.941829047,0
28.0,0,781.25,190.8,0,0,0,6.660895201,0
22.0,0,375.0,403.8,0,0,0,5.926926026,0
36.0,1,1250.0,170.4,0,0,0,7.13089883,0
45.0,0,1875.0,48.0003,0,1,1,7.536363938,0
32.0,0,937.5,48.0003,0,0,0,6.843216758,0
47.0,0,937.5,158.4,0,2,2,6.843216758,0
37.0,1,1250.0,186.9,1,3,2,7.13089883,0
52.0,0,1875.0,48.0003,0,2,2,7.536363938,0
34.0,1,118.75,48.0,0,,1,4.777020443,0
45.0,0,1562.5,170.4,0,0,0,7.354042382,0
32.0,1,937.5,48.0003,0,2,1,6.843216758,0
29.0,0,1562.5,170.4,0,0,0,7.354042382,0
35.0,1,625.0,48.0003,0,0,0,6.43775165,0
20.0,1,156.25,161.7,0,1,1,5.051457289,0
51.0,0,1031.25,161.7,1,2,3,6.938526938,0
31.0,1,875.0,196.2,0,2,2,6.774223886,0
44.0,0,1281.25,170.4,0,0,0,7.155591443,0
42.0,1,937.5,138.0,0,0,0,6.843216758,0
28.0,0,937.5,118.5,1,2,1,6.843216758,0
32.0,0,625.0,180.9,0,0,0,6.43775165,0
33.0,1,1875.0,288.0,0,0,0,7.536363938,0
57.0,0,1718.75,988.5,0,0,0,7.449352561,0
19.0,0,625.0,82.2,0,2,2,6.43775165,0
48.0,0,937.5,161.7,0,2,1,6.843216758,0
35.0,1,625.0,197.4,1,1,1,6.43775165,0
27.0,1,875.0,170.4,1,0,0,6.774223886,0
65.0,0,1250.0,208.5,0,1,1,7.13089883,0
45.0,0,1718.75,48.0003,0,2,0,7.449352561,0
45.0,0,343.75,48.0,0,1,1,5.839914649,0
32.0,0,406.25,48.0,1,1,1,6.006968734,0
38.0,0,,239.1,1,0,1,,0
28.0,0,656.25,170.4,0,0,0,6.486541814,0
30.0,1,625.0,48.0003,0,2,1,6.43775165,0
28.0,0,562.5,160.2,1,0,0,6.332391134,0
23.0,0,2125.0,239.1,0,0,0,7.661527081,0
36.0,0,937.5,176.4,0,2,1,6.843216758,0
50.0,0,1093.75,170.4,0,0,0,6.997367438,0
28.0,0,,,0,0,0,,0
40.0,0,1250.0,161.7,0,1,2,7.13089883,0
33.0,0,468.75,48.0003,0,1,1,6.150069577,0
42.0,1,937.5,48.0,0,1,2,6.843216758,0
27.0,1,102.5,160.2,0,0,0,4.629862799,0
64.0,0,1875.0,48.0003,0,1,2,7.536363938,0
38.0,0,2500.0,48.0003,0,3,0,7.824046011,0
49.0,0,937.5,170.4,0,0,0,6.843216758,0
31.0,0,781.25,170.4,0,1,1,6.660895201,0
37.0,0,937.5,1005.9,0,0,0,6.843216758,0
29.0,0,1562.5,348.9,0,0,0,7.354042382,0
52.0,0,1093.75,261.3,0,0,0,6.997367438,0
66.0,1,937.5,48.0003,1,0,0,6.843216758,0
35.0,0,578.125,21.0,0,0,0,6.359790108,0
23.0,0,125.0,457.8,1,1,2,4.828313737,0
45.0,0,312.5,197.4,0,1,0,5.744604469,0
25.0,1,375.0,170.4,0,0,0,5.926926026,0
55.0,1,1250.0,48.0003,1,2,2,7.13089883,0
44.0,1,,288.0,0,0,0,,0
30.0,1,625.0,48.0003,0,0,0,6.43775165,0
33.0,1,1250.0,176.4,0,0,0,7.13089883,0
49.0,1,2187.5,48.0003,0,0,0,7.690514618,0
52.0,0,1172.5,48.0003,0,0,0,7.0668935,0
20.0,1,2000.0,535.5,0,1,1,7.60090246,0
23.0,0,1000.0,595.2,0,0,0,6.907755279,0
35.0,1,625.0,48.0003,1,0,0,6.43775165,0
57.0,1,781.25,48.0003,1,0,2,6.660895201,0
20.0,0,25.0,48.0,0,0,0,3.218875825,0
30.0,0,1758.75,48.0003,1,0,0,7.472358608,0
30.0,0,250.0,48.0,0,0,1,5.521460918,0
42.0,1,937.5,48.0003,0,0,1,6.843216758,0
36.0,0,2000.0,288.0,0,0,0,7.60090246,0
22.0,0,2500.0,48.0003,0,2,1,7.824046011,0
34.0,0,,48.0003,0,0,1,,0
40.0,0,2187.5,349.2,0,0,0,7.690514618,0
25.0,0,625.0,261.3,0,0,0,6.43775165,0
47.0,1,562.5,177.9,0,2,1,6.332391134,0
35.0,1,468.5,48.0003,0,2,2,6.149536102,0
29.0,0,468.5,48.0003,0,0,0,6.149536102,0
39.0,0,375.0,48.0,0,0,0,5.926926026,0
23.0,0,625.0,48.0,0,0,0,6.43775165,0
24.0,0,1000.0,535.5,0,0,0,6.907755279,0
39.0,0,781.25,52.2,0,0,0,6.660895201,0
45.0,0,1562.5,161.7,0,1,1,7.354042382,0
30.0,1,625.0,176.4,0,0,0,6.43775165,0
45.0,1,1250.0,48.0003,0,0,0,7.13089883,0
20.0,1,937.5,48.0,0,0,0,6.843216758,0
18.0,1,,48.0,0,2,1,,0
39.0,1,1093.75,48.0003,0,0,0,6.997367438,0
45.0,0,1250.0,118.5,1,0,0,7.13089883,0
42.0,1,6250.0,48.0003,0,0,0,8.740336743,0
40.0,0,2187.0,161.7,0,1,1,7.690286021,0
32.0,1,1562.5,197.4,1,0,0,7.354042382,0
21.0,0,2031.25,48.0003,0,0,0,7.616406646,0
28.0,0,937.5,170.4,0,0,0,6.843216758,0
24.0,1,2500.0,48.0,0,0,0,7.824046011,0
26.0,0,1250.0,48.0003,0,0,0,7.13089883,0
53.0,0,625.0,161.7,0,0,0,6.43775165,0
30.0,1,1562.5,170.4,0,0,0,7.354042382,0
25.0,1,375.0,48.0003,0,2,2,5.926926026,0
25.0,1,1093.75,48.0003,0,3,1,6.997367438,0
29.0,1,937.5,190.8,0,1,1,6.843216758,0
56.0,0,625.0,48.0,1,0,0,6.43775165,0
17.0,0,,48.0,0,1,1,,0
16.0,0,,29.4,0,2,1,,0
53.0,0,625.0,170.4,0,0,1,6.43775165,0
30.0,0,1172.5,457.8,0,1,1,7.0668935,0
27.0,0,1562.5,48.0003,0,1,1,7.354042382,0
47.0,1,117.25,48.0,1,0,0,4.764308407,0
33.0,0,625.0,457.8,0,0,0,6.43775165,0
25.0,0,293.13,118.5,0,1,1,5.680616197,0
24.0,0,1000.0,,0,0,0,6.907755279,0
23.0,1,234.5,29.4,0,1,1,5.457455588,0
30.0,1,781.25,48.0003,0,0,0,6.660895201,0
26.0,0,117.25,48.0,0,0,0,4.764308407,0
46.0,1,1250.0,87.0,0,0,0,7.13089883,0
50.0,0,1562.5,203.7,0,0,0,7.354042382,0
45.0,1,1187.5,48.0,0,0,0,7.079605536,0
34.0,1,1250.0,288.0,0,0,0,7.13089883,0
36.0,0,2187.5,48.0,0,0,0,7.690514618,0
47.0,0,2656.25,197.4,1,1,2,7.884670633,0
52.0,1,1031.25,48.0003,1,2,2,6.938526938,0
59.0,0,671.88,48.0003,0,2,1,6.510079753,0
49.0,1,468.75,52.2,1,0,0,6.150069577,0
23.0,1,593.75,48.0003,0,2,1,6.386458355,0
58.0,0,562.5,48.0003,1,2,2,6.332391134,0
47.0,0,1250.0,457.8,0,0,0,7.13089883,0
41.0,1,1093.75,48.0,1,3,1,6.997367438,0
28.0,0,718.75,48.0,0,0,0,6.577513592,0
36.0,0,781.25,196.2,0,3,0,6.660895201,0
26.0,1,937.5,48.0003,0,2,2,6.843216758,0
59.0,0,468.75,170.4,0,0,0,6.150069577,0
32.0,1,106.25,161.7,0,0,0,4.665794808,0
28.0,1,1312.5,48.0003,0,3,1,7.179688994,0
25.0,1,1562.5,48.0,0,0,0,7.354042382,0
52.0,1,625.0,163.5,0,0,2,6.43775165,0
43.0,1,625.0,176.4,0,0,0,6.43775165,0
42.0,0,1250.0,48.0,0,2,2,7.13089883,0
35.0,0,879.38,48.0,1,0,0,6.779217114,0
44.0,,656.25,48.0,0,1,0,6.486541814,0
21.0,0,937.5,48.0003,0,1,0,6.843216758,0
21.0,0,125.0,48.0003,0,0,0,4.828313737,0
19.0,0,1562.5,48.0003,1,1,0,7.354042382,0
42.0,1,1875.0,48.0003,0,0,1,7.536363938,0
40.0,0,2187.5,48.0003,0,1,1,7.690514618,0
53.0,0,343.75,52.2,0,1,1,5.839914649,0
18.0,0,1875.0,48.0003,0,2,1,7.536363938,0
23.0,1,1718.75,48.0003,0,0,0,7.449352561,0
21.0,1,1250.0,161.7,0,0,0,7.13089883,0
35.0,0,468.75,48.0003,0,0,1,6.150069577,0
27.0,0,2812.5,48.0003,0,1,1,7.941829047,0
47.0,1,,457.8,0,0,0,,0
67.0,1,,48.0003,0,1,1,,0
17.0,1,1875.0,48.0003,0,2,1,7.536363938,0
27.0,0,2187.5,170.4,0,0,0,7.690514618,0
46.0,1,1000.0,170.4,0,0,0,6.907755279,0
22.0,0,187.5,48.0003,0,1,,5.233778845,0
48.0,0,1250.0,48.0003,0,1,1,7.13089883,0
25.0,0,156.25,48.0,1,0,0,5.051457289,0
22.0,0,2000.0,535.5,0,0,0,7.60090246,0
27.0,1,1406.25,48.0,1,1,2,7.248681866,0
38.0,1,117.25,48.0003,0,0,0,4.764308407,0
16.0,1,469.0,48.0003,0,0,0,6.150602768,0
44.0,1,781.25,403.8,0,0,0,6.660895201,0
43.0,1,,48.0,0,0,0,,0
40.0,0,937.5,170.4,0,0,0,6.843216758,0
21.0,0,175.88,48.0,0,1,0,5.169801944,0
22.0,0,1000.0,535.5,0,0,0,6.907755279,0
,0,1000.0,48.0,0,0,0,6.907755279,0
15.0,1,322.44,48.0,0,0,0,5.775917072,0
28.0,0,351.75,48.0,0,0,0,5.862920696,0
34.0,1,,48.0,0,2,2,,0
41.0,0,,303.6,0,0,1,,0
28.0,1,375.0,48.0003,0,2,1,5.926926026,0
25.0,0,2125.0,170.4,0,0,0,7.661527081,0
23.0,1,343.75,48.0003,0,2,2,5.839914649,0
40.0,1,625.0,48.0003,0,2,3,6.43775165,0
42.0,1,400.0,535.5,1,0,0,5.991464547,0
24.0,0,1000.0,303.6,0,0,0,6.907755279,0
31.0,0,1312.5,48.0003,0,2,1,7.179688994,0
19.0,0,1250.0,48.0003,0,1,0,7.13089883,0
20.0,1,312.5,48.0003,1,1,0,5.744604469,0
23.0,1,375.0,48.0003,0,1,2,5.926926026,0
41.0,0,375.0,239.1,0,2,1,5.926926026,0
49.0,1,187.5,48.0003,1,2,1,5.233778845,0
28.0,1,1093.75,82.2,0,2,1,6.997367438,0
31.0,1,937.5,125.4,0,1,2,6.843216758,0
22.0,1,625.0,48.0003,1,1,2,6.43775165,0
26.0,0,3000.0,48.0,0,2,1,8.006367568,0
55.0,1,1500.0,48.0003,1,1,1,7.313220387,0
16.0,1,,48.0003,0,3,2,,0
33.0,0,1093.75,48.0,1,1,1,6.997367438,0
28.0,1,,48.0003,0,6,3,,0
18.0,1,937.5,48.0003,1,1,1,6.843216758,0
24.0,1,58.63,48.0003,1,0,0,4.071246511,0
28.0,1,,87.0,0,0,1,,0
21.0,0,625.0,48.0003,0,1,0,6.43775165,0
18.0,0,,48.0003,1,5,3,,0
37.0,0,1250.0,60.0,0,3,0,7.13089883,0
20.0,1,117.25,48.0003,0,1,0,4.764308407,0
33.0,0,431.25,48.0003,1,1,1,6.066687968,0
28.0,0,2187.5,551.7,0,0,0,7.690514618,0
36.0,0,1250.0,48.0,1,2,0,7.13089883,0
18.0,0,117.25,48.0003,0,3,2,4.764308407,0
20.0,1,3125.0,48.0003,0,0,1,8.047189562,0
41.0,1,,48.0003,1,1,1,,0
19.0,1,,48.0,0,1,3,,0
49.0,1,781.25,170.4,0,0,0,6.660895201,0
29.0,1,1500.0,176.4,0,2,1,7.313220387,0
62.0,0,,48.0003,0,3,3,,0
35.0,0,718.75,138.0,0,1,2,6.577513592,0
42.0,1,375.0,48.0,1,0,0,5.926926026,0
20.0,0,265.63,48.0,0,1,2,5.582104363,0
36.0,1,562.5,48.0,0,2,2,6.332391134,0
38.0,1,1000.0,87.0,0,2,1,6.907755279,0
28.0,0,800.0,261.3,0,2,1,6.684611728,0
38.0,1,1250.0,48.0003,0,1,1,7.13089883,0
17.0,1,2500.0,48.0003,0,2,1,7.824046011,0
24.0,0,203.13,177.9,1,2,2,5.313846168,0
50.0,0,,,0,0,0,,0
43.0,0,1718.75,161.7,0,0,0,7.449352561,0
19.0,1,,52.2,0,1,2,,0
32.0,1,750.0,48.0003,0,0,2,6.620073207,0
25.0,1,625.0,52.2,0,1,2,6.43775165,0
24.0,1,1562.5,48.0,1,3,2,7.354042382,0
48.0,4,3500.0,48.0,0,1,2,8.160518247,0
44.0,0,2500.0,48.0003,0,2,2,7.824046011,0
36.0,1,1562.5,48.0003,0,2,2,7.354042382,0
36.0,1,1093.75,158.4,0,1,3,6.997367438,0
26.0,0,968.75,48.0003,0,2,2,6.876006581,0
37.0,0,1562.5,48.0,1,0,0,7.354042382,0
38.0,0,781.25,170.4,0,0,0,6.660895201,0
35.0,1,1031.25,403.8,0,0,0,6.938526938,0
59.0,0,625.0,48.0,1,2,1,6.43775165,0
17.0,1,1562.5,48.0003,1,2,2,7.354042382,0
43.0,1,2500.0,48.0,0,0,0,7.824046011,0
48.0,1,1875.0,48.0003,0,3,1,7.536363938,0
23.0,1,562.5,48.0,0,0,0,6.332391134,0
28.0,0,781.25,48.0003,0,2,0,6.660895201,1
20.0,0,,48.0003,0,4,1,,1
42.0,0,1250.0,25.2,0,2,0,7.13089883,1
36.0,0,222.7722772,48.0003,0,1,1,5.406150071,1
22.0,0,297.029703,48.0003,0,0,0,5.693832144,1
33.0,0,445.5445545,21.0,1,0,1,6.099297252,1
19.0,1,1980.19802,48.0003,0,0,1,7.590952129,1
25.0,1,866.3366337,45.0,0,0,0,6.764273556,1
23.0,0,,48.0003,1,0,0,,1
34.0,0,1406.25,48.0,1,1,3,7.248681866,1
28.0,0,1562.5,82.2,1,2,3,7.354042382,1
48.0,1,2187.5,170.4,0,0,1,7.690514618,1
42.0,0,656.25,420.9,0,2,0,6.486541814,1
21.0,0,187.5,48.0003,0,3,1,5.233778845,1
32.0,1,,176.4,0,2,2,,1
18.0,0,375.0,48.0003,0,3,2,5.926926026,1
31.0,0,468.75,60.0,0,2,2,6.150069577,1
43.0,0,468.75,60.0,0,1,1,6.150069577,1
17.0,0,,190.8,0,1,0,,1
43.0,0,937.5,48.0003,0,1,2,6.843216758,1
20.0,0,1562.5,48.0003,0,3,1,7.354042382,1
35.0,1,2812.5,197.4,0,2,3,7.941829047,1
28.0,0,1250.0,48.0,0,2,1,7.13089883,1
29.0,1,156.25,48.0003,0,2,1,5.051457289,1
69.0,0,500.0,48.0003,0,1,1,6.214608098,1
46.0,0,2500.0,48.0003,0,0,0,7.824046011,1
32.0,1,2000.0,48.0003,0,0,0,7.60090246,1
64.0,0,1250.0,48.0003,1,0,0,7.13089883,1
53.0,0,250.0,48.0,0,0,0,5.521460918,1
28.0,0,312.5,48.0003,0,0,0,5.744604469,1
19.0,0,1562.5,82.2,0,1,1,7.354042382,1
30.0,0,312.5,48.0003,0,1,1,5.744604469,1
23.0,1,625.0,190.8,0,1,1,6.43775165,1
22.0,1,117.25,29.4,1,0,0,4.764308407,1
18.0,0,175.88,29.4,0,0,0,5.169801944,1
53.0,0,312.5,29.4,0,0,0,5.744604469,1
29.0,1,586.25,29.4,1,1,2,6.37374632,1
32.0,1,875.0,48.0,0,2,0,6.774223886,1
47.0,0,1406.25,170.4,0,2,0,7.248681866,1
54.0,0,218.75,52.2,0,0,0,5.387929525,1
29.0,0,117.25,48.0003,0,2,1,4.764308407,1
26.0,1,312.5,48.0003,0,0,0,5.744604469,1
36.0,0,,48.0003,0,0,1,,1
17.0,1,2500.0,176.4,0,2,1,7.824046011,1
35.0,1,3125.0,161.7,0,1,1,8.047189562,1
27.0,1,700.0,595.2,0,2,1,6.551080335,1
32.0,0,700.0,190.8,0,0,0,6.551080335,1
66.0,0,265.63,48.0003,0,0,1,5.582104363,1
53.0,1,156.25,29.4,1,0,0,5.051457289,1
31.0,1,312.5,48.0003,0,1,0,5.744604469,1
28.0,0,,48.0003,0,1,0,,1
17.0,0,156.25,48.0003,0,3,2,5.051457289,1
37.0,0,1562.5,48.0,0,3,1,7.354042382,1
21.0,0,1172.5,48.0003,0,2,2,7.0668935,1
38.0,0,900.0,170.4,0,2,2,6.802394763,1
32.0,1,1000.0,161.7,0,3,4,6.907755279,1
22.0,1,2812.5,52.2,0,4,3,7.941829047,1
27.0,1,1250.0,170.4,0,2,3,7.13089883,1
32.0,1,781.25,176.4,0,2,2,6.660895201,1
25.0,1,1406.25,303.6,0,2,3,7.248681866,1
21.0,1,562.5,48.0003,0,3,1,6.332391134,1
49.0,0,843.75,48.0003,0,2,2,6.737856242,1
55.0,0,3125.0,595.2,1,2,2,8.047189562,1
19.0,0,437.5,48.0003,0,2,1,6.081076706,1
20.0,1,1732.673267,48.0003,0,1,1,7.457420736,2
26.0,0,625.0,48.0003,0,2,2,6.43775165,2
20.0,1,,48.0003,0,4,2,,2
23.0,0,140.625,48.0003,0,3,2,4.946096773,2
19.0,1,,48.0003,0,,3,,2
19.0,1,1250.0,48.0003,0,2,2,7.13089883,2
47.0,0,,161.7,0,4,3,,2
25.0,0,1875.0,48.0003,0,5,3,7.536363938,2
21.0,1,937.5,48.0003,0,5,2,6.843216758,2
36.0,1,4687.5,170.4,0,1,2,8.45265467,2
45.0,0,1187.5,203.7,0,0,3,7.079605536,2
47.0,0,625.0,21.0,0,4,2,6.43775165,2
13.0,0,625.0,48.0003,0,3,2,6.43775165,2
32.0,0,187.5,48.0003,0,0,2,5.233778845,2
27.0,1,562.5,48.0003,0,4,3,6.332391134,2
35.0,1,1250.0,48.0003,0,3,2,7.13089883,2
24.0,1,1250.0,48.0003,0,4,3,7.13089883,3
30.0,0,562.5,82.2,0,1,0,6.332391134,3
28.0,0,1250.0,48.0003,0,0,0,7.13089883,3
38.0,0,1500.0,48.0003,0,1,0,7.313220387,3
22.0,0,1093.75,48.0003,0,5,0,6.997367438,3
35.0,0,2000.0,48.0,0,4,4,7.60090246,3
22.0,0,937.5,48.0003,0,5,2,6.843216758,3
27.0,1,93.75,48.0003,0,4,3,4.540631665,4
21.0,0,625.0,21.0,0,1,0,6.43775165,4
28.0,0,625.0,21.0,0,0,0,6.43775165,4
24.0,0,3125.0,48.0003,0,2,1,8.047189562,5
22.0,0,187.5,48.0003,0,6,1,5.233778845,5
24.0,0,256.63,82.2,0,0,0,5.547635359,5
66.0,0,937.5,29.4,0,0,0,6.843216758,7
